Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
Lot 1002 in DD 40,"Site 14, Sha Tau Kok",Residential R1,0.3235 ha,3.6,5,Apr-1999,1999/2000,0
NKIL 6277,"Kowloon Tsai Military Quarters Site, Kowloon Tong",Residential R3,4.1000 ha,1.8,50,Apr-1999,1999/2000,0
TCTL 11,"Area 3, Tung Chung New Town",Commercial,1.4900 ha,3,10,Jun-1999,1999/2000,0
NKIL 6269,"J/O Wai Yip Street/Shun Yip Street/Hoi Bun Road, Kwun Tong",Commercial and Multi-storey Carpark,0.7166 ha,12,20,Apr-1999,1999/2000,0
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial and Multi-storey Carpark,0.4870 ha,12,20,Apr-1999,1999/2000,0
KIL 11103,Hung Hom Bay Reclamation,Commercial and Multi-storey Carpark,0.9940 ha,12,50,Sep-1999,1999/2000,0
KIL 11110,Hung Hom Bay Reclamation,Hotel,2.0200 ha,5.28,50,Apr-1999,1999/2000,0
TWTL 393,"Site C, Area 35, Tsuen Wan",Hotel,1.1500 ha,9.5,30,Oct-1999,1999/2000,0
TSWTL 26,"Area 108a, Tin Shui Wai",Commercial,0.6500 ha,4,5,May-1999,1999/2000,0
NKIL 6280,"J/O Wang Mau Street/Wang Tai Road/Sheung Yee Road, Kowloon Bay",Industrial/ Office,0.5493 ha,12,10,Apr-1999,1999/2000,0
TYTL 158,"Tsing Keung Street, South Tsing Yi",Industrial/ Godown,1.9300 ha,2.5,10,Aug-1999,1999/2000,0
KCTL 478,"Wing Kin Road, Kwai Chung",Industrial/ Godown and Multi-storey Carpark,0.3707 ha,9.5,5,Apr-1999,1999/2000,0
Lot 1142 in DD 215,"Hong Tsuen Road, Sai Kung Tuk, Area 3, Sai Kung",Industrial/ Godown and Vehicle Repair Workshop,0.2400 ha,5,1,Apr-1999,1999/2000,0
YLTL 458,Tung Tau Industrial Area,Industrial/ Godown,0.4550 ha,9.5,5,Dec-1999,1999/2000,0
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Commercial/Residential,1.4667 ha,Portion A: 10.55; Portion B: see Note 2,50,April 2001,2001/2002,1
NKIL 6308,"San Po Kong Magistracy, Government Offices Building and King Fuk Street Playground, San Po Kong",Commercial/Residential,1.2639 ha,9,50,9 February 2002,2001/2002,0
TMTL 430,"Area 52, Tuen Mun",Residential R4,0.3900 ha,0.4,2,April 2001,2001/2002,0
TMTL 422,"Ex-Pearl Island Quarters, Tuen Mun",Residential R3,1.5063 ha,1.3,20,April 2001,2001/2002,0
Lot 245 D.D. 331,"Ex-South Lantau Hospital, Lantau",Residential R4,1.6600 ha,0.4,10,April 2001,2001/2002,0
TMTL 449,"Area 58, Tuen Mun",Residential R3,1.6693 ha,1.33,20,April 2001,2001/2002,1
KIL 11146,"Site E/A3, West Kowloon Reclamation (Site B1)",Residential R1,1.1300 ha,7.5,50,June 2001,2001/2002,0
KIL 11158,"Site E/A3, West Kowloon Reclamation (Site B2)",Residential R1,1.0400 ha,7.5,50,June 2001,2001/2002,0
STTL 487,"Site 15, Area 77, Ma On Shan",Residential R2,1.4338 ha,5,50,July 2001,2001/2002,0
STTL 526,"Ex-Pak Tak Yuen, Lok Kwai Path, Sha Tin",Residential R3,2.0650 ha,1.5,50,August 2001,2001/2002,0
IL 8914,"Ex-Hollywood Road Police Quarters, Sheung Wan",Residential R1,0.5818 ha,10,50,September 2001,2001/2002,0
KIL 11140,"Site F/A14, West Kowloon Reclamation",Residential R1,1.4312 ha,7.5,50,October 2001,2001/2002,0
TMTL 436,"Siu Lam, Tuen Mun",Residential R4,0.9240 ha,0.4,2,October 2001,2001/2002,0
STTL 449,"Sites 21 and 22, Area 86B, Ma On Shan",Residential R2,2.1100 ha,5,50,December 2001,2001/2002,0
NKIL 6196,"Junction of Cornwall Street and Tat Chee Avenue, Kowloon Tong",Residential R3,1.4600 ha,1.916,50,March 2002,2001/2002,0
KCTL 486,"Kwai Shing Circuit, Kwai Chung",Private Sector Participation Scheme,0.4658 ha,4.41/0.09,5,April 2001,2001/2002,0
STTL 507,"Area 11, Shek Mun, Shatin",Private Sector Participation Scheme,4.0450 ha,6.42/0.14,30,April 2001,2001/2002,0
TKOTL 77,"Area 73B, Tseung Kwan O",Private Sector Participation Scheme,1.7400 ha,7.84/0.16,40,April 2001,2001/2002,0
TKOTL 61,"Area 65B, Tseung Kwan O",Private Sector Participation Scheme,4.0600 ha,6.71/0.11,50,September 2001,2001/2002,0
YLTL 518,Yuen Long Estate,Private Sector Participation Scheme,1.8800 ha,4.97/0.05,20,February 2002,2001/2002,0
KIL 11110,Hung Hom Bay Reclamation,Commercial,2.0364 ha,5.28,50,April 2001,2001/2002,1
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4160 ha,15,50,March 2002,2001/2002,0
